Date,Time,Open,High,Low,Close,Volume
01/26/2020,17:00,1.10318,1.10318,1.10287,1.10308,0
02/02/2020,17:00,1.10939,1.10939,1.10939,1.10939,0
02/09/2020,17:00,1.09439,1.09441,1.09419,1.09422,0
02/16/2020,17:00,1.08406,1.08408,1.08392,1.08398,0
02/23/2020,17:00,1.08145,1.08258,1.08132,1.08247,0
03/01/2020,17:00,1.10423,1.10444,1.10411,1.10411,0
03/08/2020,17:00,1.13469,1.13508,1.13451,1.13454,0
03/15/2020,17:00,1.119,1.11957,1.11884,1.11957,0
03/22/2020,17:00,1.06942,1.0703,1.06941,1.06969,0
03/29/2020,17:00,1.1134,1.11384,1.11339,1.11379,0
04/05/2020,17:00,1.08082,1.08089,1.08082,1.08089,0
04/12/2020,17:00,1.09482,1.09482,1.0943,1.09433,0
04/19/2020,17:00,1.08709,1.08729,1.08709,1.08711,0
04/26/2020,17:00,1.08211,1.0822,1.08211,1.0822,0
05/03/2020,17:00,1.09676,1.09702,1.09628,1.09702,0
05/10/2020,17:00,1.08265,1.08273,1.08253,1.08257,0
05/17/2020,17:00,1.08178,1.08222,1.08174,1.08183,0
05/24/2020,17:00,1.08956,1.08957,1.08956,1.08956,0
05/31/2020,17:00,1.11129,1.11149,1.11129,1.11149,0
06/07/2020,17:00,1.12911,1.1292,1.12909,1.12911,0
06/14/2020,17:00,1.12329,1.12342,1.12329,1.12342,0
06/21/2020,17:00,1.11835,1.11841,1.11833,1.1184,0
06/28/2020,17:00,1.12182,1.12191,1.12162,1.1217,0
07/05/2020,17:00,1.12433,1.12433,1.12433,1.12433,0
07/12/2020,17:00,1.12988,1.12995,1.12987,1.1299,0
07/19/2020,17:00,1.14272,1.14274,1.14261,1.14269,0
07/26/2020,17:00,1.1643,1.16441,1.1643,1.16441,0
08/02/2020,17:00,1.17725,1.17725,1.17724,1.17724,0
08/09/2020,17:00,1.17886,1.17887,1.17885,1.17887,0
08/16/2020,17:00,1.18389,1.18396,1.18386,1.18396,0
08/23/2020,17:00,1.17952,1.17961,1.17948,1.17949,0
08/30/2020,17:00,1.19042,1.19046,1.18993,1.19018,0
09/06/2020,17:00,1.18432,1.18455,1.18432,1.18455,0
09/13/2020,17:00,1.18348,1.18364,1.18347,1.18364,0
09/20/2020,17:00,1.18369,1.18413,1.18369,1.18413,0
09/27/2020,17:00,1.16302,1.16311,1.16277,1.16277,0
10/04/2020,17:00,1.1711,1.17122,1.17099,1.17122,0
10/11/2020,17:00,1.18103,1.18119,1.18102,1.18109,0
10/18/2020,17:00,1.17146,1.17152,1.17131,1.17132,0
10/25/2020,17:00,1.18569,1.18605,1.18561,1.18569,0
11/01/2020,17:00,1.16498,1.16498,1.16476,1.16478,0
11/08/2020,17:00,1.18898,1.18899,1.18878,1.18878,0
11/15/2020,17:00,1.18411,1.18414,1.18405,1.18406,0
11/22/2020,17:00,1.18538,1.18547,1.18537,1.18541,0
11/29/2020,17:00,1.19614,1.19621,1.1961,1.1961,0
12/06/2020,17:00,1.21308,1.21308,1.21304,1.21305,0
12/13/2020,17:00,1.21367,1.21404,1.21349,1.21361,0
12/20/2020,17:00,1.2221,1.22211,1.22209,1.2221,0
12/27/2020,17:00,1.21902,1.21922,1.21891,1.21922,0
01/03/2021,17:00,1.22396,1.22396,1.22373,1.22395,0
01/10/2021,17:00,1.22175,1.22175,1.22144,1.2215,0
01/17/2021,17:00,1.20838,1.20838,1.20831,1.20831,0
01/24/2021,17:00,1.21688,1.21716,1.21677,1.21715,0
01/31/2021,17:00,1.21297,1.21318,1.21296,1.21317,0
02/07/2021,17:00,1.20375,1.20396,1.20374,1.20385,0
02/14/2021,17:00,1.21244,1.21244,1.21237,1.21242,0
02/21/2021,17:00,1.21151,1.21151,1.21141,1.21151,0
02/28/2021,17:00,1.20702,1.20702,1.20702,1.20702,0
03/07/2021,17:00,1.19177,1.19177,1.19176,1.19176,0
03/14/2021,17:00,1.19483,1.19503,1.19483,1.19496,0
03/21/2021,17:00,1.18804,1.1886,1.18775,1.18806,0
03/28/2021,17:00,1.17937,1.17938,1.1791,1.17918,0
04/04/2021,17:00,1.17544,1.17556,1.17544,1.17556,0
04/11/2021,17:00,1.18903,1.18904,1.18903,1.18903,0
04/18/2021,17:00,1.19722,1.19738,1.1972,1.19735,0
04/25/2021,17:00,1.20913,1.20937,1.20912,1.20937,0
05/02/2021,17:00,1.20309,1.20328,1.20291,1.2031,0
05/09/2021,17:00,1.21628,1.21631,1.21615,1.21615,0
05/16/2021,17:00,1.2145,1.2145,1.21426,1.21427,0
05/23/2021,17:00,1.21778,1.21778,1.21778,1.21778,0
05/30/2021,17:00,1.2199,1.21998,1.21969,1.2199,0
06/06/2021,17:00,1.21601,1.21601,1.21596,1.21597,0
06/13/2021,17:00,1.21079,1.21081,1.21071,1.21072,0
06/20/2021,17:00,1.18542,1.18559,1.18542,1.18559,0
06/27/2021,17:00,1.19351,1.19357,1.19347,1.19347,0
07/04/2021,17:00,1.18642,1.18646,1.18621,1.18622,0
07/11/2021,17:00,1.18766,1.18775,1.1871,1.1871,0
07/18/2021,17:00,1.18054,1.18054,1.18054,1.18054,0
07/25/2021,17:00,1.17704,1.17704,1.17683,1.17683,0
